annotation_schema_version,dataset_fingerprint,source_manifest_sha256,doc_id,relative_path,company_code,report_year,statement_scope
1,37a61be7aebde1fbcfe3aca42e6ba4ff37ae87bdd1a9ba6696506bcd188e7d1f,924d165211c63bbfc718b790f217ec356f80236e21fa0d8aa2acb497e186a5cf,doc_093e3bb0526e15c46ba11ea083bab55cce91a16523a9a9965ca5dba89fe925ad,GEG/2016/GEG_financial_statements_2016_consolidated/GEG_financial_statements_2016_consolidated_extracted.txt,GEG,2016,consolidated
1,37a61be7aebde1fbcfe3aca42e6ba4ff37ae87bdd1a9ba6696506bcd188e7d1f,924d165211c63bbfc718b790f217ec356f80236e21fa0d8aa2acb497e186a5cf,doc_86c2d957c54b005f5a1abb24989594936750e3e3105373d8daa0244fc4404f85,GEG/2020/GEG_financial_statements_2020_separate/GEG_financial_statements_2020_separate_extracted.txt,GEG,2020,separate
1,37a61be7aebde1fbcfe3aca42e6ba4ff37ae87bdd1a9ba6696506bcd188e7d1f,924d165211c63bbfc718b790f217ec356f80236e21fa0d8aa2acb497e186a5cf,doc_5c04db88863e3f82be09ef80b120b0fcab9cf8736b8336f3860d5bbebcf58f77,GEG/2022/GEG_financial_statements_2022_consolidated/GEG_financial_statements_2022_consolidated_extracted.txt,GEG,2022,consolidated
1,37a61be7aebde1fbcfe3aca42e6ba4ff37ae87bdd1a9ba6696506bcd188e7d1f,924d165211c63bbfc718b790f217ec356f80236e21fa0d8aa2acb497e186a5cf,doc_8787ef5ce0651a133f520f289e631b6b8301e73154e8345c89cf7e01a504ec48,GEX/2016/GEX_financial_statements_2016_consolidated/GEX_financial_statements_2016_consolidated_extracted.txt,GEX,2016,consolidated
1,37a61be7aebde1fbcfe3aca42e6ba4ff37ae87bdd1a9ba6696506bcd188e7d1f,924d165211c63bbfc718b790f217ec356f80236e21fa0d8aa2acb497e186a5cf,doc_e03188737d522b3f088f991a1ec5fdc8e429e54c982784e51652d35ec5cc0073,GEX/2017/GEX_financial_statements_2017_consolidated/GEX_financial_statements_2017_consolidated_extracted.txt,GEX,2017,consolidated
1,37a61be7aebde1fbcfe3aca42e6ba4ff37ae87bdd1a9ba6696506bcd188e7d1f,924d165211c63bbfc718b790f217ec356f80236e21fa0d8aa2acb497e186a5cf,doc_3a7a16664bf624f15f5f746e733fc404c5c66450ef82556adc62329cc1bdcd11,GEX/2018/GEX_financial_statements_2018_separate/GEX_financial_statements_2018_separate_extracted.txt,GEX,2018,separate
1,37a61be7aebde1fbcfe3aca42e6ba4ff37ae87bdd1a9ba6696506bcd188e7d1f,924d165211c63bbfc718b790f217ec356f80236e21fa0d8aa2acb497e186a5cf,doc_f817eefacf9c3e67c5298f0fc09ac6e0276d74c2a640fc5b1adc20beb8b60a8e,HDB/2020/HDB_financial_statements_2020_separate/HDB_financial_statements_2020_separate_extracted.txt,HDB,2020,separate
1,37a61be7aebde1fbcfe3aca42e6ba4ff37ae87bdd1a9ba6696506bcd188e7d1f,924d165211c63bbfc718b790f217ec356f80236e21fa0d8aa2acb497e186a5cf,doc_43e277154b1ac89913b75cf6f8f71be85bdf8dcfe25335b06a9abf74779c6eb1,HDB/2022/HDB_financial_statements_2022_consolidated/HDB_financial_statements_2022_consolidated_extracted.txt,HDB,2022,consolidated
1,37a61be7aebde1fbcfe3aca42e6ba4ff37ae87bdd1a9ba6696506bcd188e7d1f,924d165211c63bbfc718b790f217ec356f80236e21fa0d8aa2acb497e186a5cf,doc_6d7b1237705b40aa68af09efd36e495197bd346378d32d84068dea4543b35bd2,HDB/2023/HDB_financial_statements_2023_separate_2/HDB_financial_statements_2023_separate_2_extracted.txt,HDB,2023,separate
1,37a61be7aebde1fbcfe3aca42e6ba4ff37ae87bdd1a9ba6696506bcd188e7d1f,924d165211c63bbfc718b790f217ec356f80236e21fa0d8aa2acb497e186a5cf,doc_82757cff70c283e922eb5c48e767f9bc00696462c0c2412c931f2d8c4d1cf76f,HDG/2016/HDG_financial_statements_2016_consolidated/HDG_financial_statements_2016_consolidated_extracted.txt,HDG,2016,consolidated
1,37a61be7aebde1fbcfe3aca42e6ba4ff37ae87bdd1a9ba6696506bcd188e7d1f,924d165211c63bbfc718b790f217ec356f80236e21fa0d8aa2acb497e186a5cf,doc_ae1c28cdaca163c456724c253744cbd0a4c6c5432c845a1d0eb52f02057eb1ee,HDG/2017/HDG_financial_statements_2017_separate/HDG_financial_statements_2017_separate_extracted.txt,HDG,2017,separate
1,37a61be7aebde1fbcfe3aca42e6ba4ff37ae87bdd1a9ba6696506bcd188e7d1f,924d165211c63bbfc718b790f217ec356f80236e21fa0d8aa2acb497e186a5cf,doc_ebbe87c5dd6255704ae6a5dd3db13314185e392cdc1099a1a53de11add8b43d0,HDG/2019/HDG_financial_statements_2019_separate/HDG_financial_statements_2019_separate_extracted.txt,HDG,2019,separate
1,37a61be7aebde1fbcfe3aca42e6ba4ff37ae87bdd1a9ba6696506bcd188e7d1f,924d165211c63bbfc718b790f217ec356f80236e21fa0d8aa2acb497e186a5cf,doc_7da3d76db147cb080f6f14a63989eb228c7cbab30405a30a834613aec3a97303,HPX/2022/HPX_financial_statements_2022_consolidated/HPX_financial_statements_2022_consolidated_extracted.txt,HPX,2022,consolidated
1,37a61be7aebde1fbcfe3aca42e6ba4ff37ae87bdd1a9ba6696506bcd188e7d1f,924d165211c63bbfc718b790f217ec356f80236e21fa0d8aa2acb497e186a5cf,doc_ed7907043d932bcbe0f702ca19d94d2bce2ec8f3b99be10f85504ad53d8ac0eb,HPX/2022/HPX_financial_statements_2022_separate/HPX_financial_statements_2022_separate_extracted.txt,HPX,2022,separate
1,37a61be7aebde1fbcfe3aca42e6ba4ff37ae87bdd1a9ba6696506bcd188e7d1f,924d165211c63bbfc718b790f217ec356f80236e21fa0d8aa2acb497e186a5cf,doc_9ee6e61421f96651fd6c74165ffc1d38920e1e3be41a54ad10bcceeb4811b784,HPX/2024/HPX_financial_statements_2024_separate/HPX_financial_statements_2024_separate_extracted.txt,HPX,2024,separate
1,37a61be7aebde1fbcfe3aca42e6ba4ff37ae87bdd1a9ba6696506bcd188e7d1f,924d165211c63bbfc718b790f217ec356f80236e21fa0d8aa2acb497e186a5cf,doc_11f4c95ef793da898aa63db21c4c671cddca9f952887f64b5a128b64cbd467a3,HSG/2016/HSG_financial_statements_2016_consolidated/HSG_financial_statements_2016_consolidated_extracted.txt,HSG,2016,consolidated
1,37a61be7aebde1fbcfe3aca42e6ba4ff37ae87bdd1a9ba6696506bcd188e7d1f,924d165211c63bbfc718b790f217ec356f80236e21fa0d8aa2acb497e186a5cf,doc_f808747ee56e200b3e408baa6e430cb1c248a76adf202f09447a33b03a8671c9,HSG/2017/HSG_financial_statements_2017_separate/HSG_financial_statements_2017_separate_extracted.txt,HSG,2017,separate
1,37a61be7aebde1fbcfe3aca42e6ba4ff37ae87bdd1a9ba6696506bcd188e7d1f,924d165211c63bbfc718b790f217ec356f80236e21fa0d8aa2acb497e186a5cf,doc_51efe6abae9d0bdf8f0c0ace48af42cf05d999a0d222f93563d71534f3e2dc23,HSG/2025/HSG_financial_statements_2025_consolidated/HSG_financial_statements_2025_consolidated_extracted.txt,HSG,2025,consolidated
1,37a61be7aebde1fbcfe3aca42e6ba4ff37ae87bdd1a9ba6696506bcd188e7d1f,924d165211c63bbfc718b790f217ec356f80236e21fa0d8aa2acb497e186a5cf,doc_945525431af814f87b50e484b5db5e1f8408aabcc163d3657cc93d423a9ab107,IJC/2017/IJC_financial_statements_2017_consolidated/IJC_financial_statements_2017_consolidated_extracted.txt,IJC,2017,consolidated
1,37a61be7aebde1fbcfe3aca42e6ba4ff37ae87bdd1a9ba6696506bcd188e7d1f,924d165211c63bbfc718b790f217ec356f80236e21fa0d8aa2acb497e186a5cf,doc_1c9c473cfa58482e1ef452e5092999b2792fec285a1ad45681cd4354c37f4976,IJC/2017/IJC_financial_statements_2017_separate/IJC_financial_statements_2017_separate_extracted.txt,IJC,2017,separate
1,37a61be7aebde1fbcfe3aca42e6ba4ff37ae87bdd1a9ba6696506bcd188e7d1f,924d165211c63bbfc718b790f217ec356f80236e21fa0d8aa2acb497e186a5cf,doc_3b110f53f97b95631878b80740eae6ebebecfea085cbc0a5876f4fb043eb347a,IJC/2024/IJC_financial_statements_2024_separate/IJC_financial_statements_2024_separate_extracted.txt,IJC,2024,separate
1,37a61be7aebde1fbcfe3aca42e6ba4ff37ae87bdd1a9ba6696506bcd188e7d1f,924d165211c63bbfc718b790f217ec356f80236e21fa0d8aa2acb497e186a5cf,doc_84e86cd28ab369f774990100708075260234b13291343f4167817ec56c8dee88,KHG/2022/KHG_financial_statements_2022_separate/KHG_financial_statements_2022_separate_extracted.txt,KHG,2022,separate
1,37a61be7aebde1fbcfe3aca42e6ba4ff37ae87bdd1a9ba6696506bcd188e7d1f,924d165211c63bbfc718b790f217ec356f80236e21fa0d8aa2acb497e186a5cf,doc_eacbc7ceab65c68f8631b2cae1663c1390d55e5891ad8ce71ceb62ec0731249f,KHG/2023/KHG_financial_statements_2023_separate/KHG_financial_statements_2023_separate_extracted.txt,KHG,2023,separate
1,37a61be7aebde1fbcfe3aca42e6ba4ff37ae87bdd1a9ba6696506bcd188e7d1f,924d165211c63bbfc718b790f217ec356f80236e21fa0d8aa2acb497e186a5cf,doc_8b361682a82d810f2f99390249711b36a7fc12732e21fadf33495a491a3f7563,KHG/2025/KHG_financial_statements_2025_consolidated/KHG_financial_statements_2025_consolidated_extracted.txt,KHG,2025,consolidated
1,37a61be7aebde1fbcfe3aca42e6ba4ff37ae87bdd1a9ba6696506bcd188e7d1f,924d165211c63bbfc718b790f217ec356f80236e21fa0d8aa2acb497e186a5cf,doc_59b3e52b9aef6dd3fad9bff4017cf6e47739b7170535b8edfb84d13bce03dec7,MSB/2016/MSB_financial_statements_2016_consolidated/MSB_financial_statements_2016_consolidated_extracted.txt,MSB,2016,consolidated
1,37a61be7aebde1fbcfe3aca42e6ba4ff37ae87bdd1a9ba6696506bcd188e7d1f,924d165211c63bbfc718b790f217ec356f80236e21fa0d8aa2acb497e186a5cf,doc_8ebed1476b7b3ba922458a3413c71f2f8abad629fee9d46d7b2478dec40572ea,MSB/2017/MSB_financial_statements_2017_separate/MSB_financial_statements_2017_separate_extracted.txt,MSB,2017,separate
1,37a61be7aebde1fbcfe3aca42e6ba4ff37ae87bdd1a9ba6696506bcd188e7d1f,924d165211c63bbfc718b790f217ec356f80236e21fa0d8aa2acb497e186a5cf,doc_fcf7590fc2cb5abba93f1fa626117358810c32c0a7d8d9f3855a827a402938a1,MSB/2018/MSB_financial_statements_2018_consolidated/MSB_financial_statements_2018_consolidated_extracted.txt,MSB,2018,consolidated
1,37a61be7aebde1fbcfe3aca42e6ba4ff37ae87bdd1a9ba6696506bcd188e7d1f,924d165211c63bbfc718b790f217ec356f80236e21fa0d8aa2acb497e186a5cf,doc_dccc39b21de8ba012f81d9c22e2a8c9718d653e2c646ae3f57ac80f04faa6b30,MWG/2017/MWG_financial_statements_2017_consolidated/MWG_financial_statements_2017_consolidated_extracted.txt,MWG,2017,consolidated
1,37a61be7aebde1fbcfe3aca42e6ba4ff37ae87bdd1a9ba6696506bcd188e7d1f,924d165211c63bbfc718b790f217ec356f80236e21fa0d8aa2acb497e186a5cf,doc_34c9d8015b288a8c3cdaf89d6bf515e6211f103c8352afd68e39f0092ed2821b,MWG/2019/MWG_financial_statements_2019_consolidated/MWG_financial_statements_2019_consolidated_extracted.txt,MWG,2019,consolidated
1,37a61be7aebde1fbcfe3aca42e6ba4ff37ae87bdd1a9ba6696506bcd188e7d1f,924d165211c63bbfc718b790f217ec356f80236e21fa0d8aa2acb497e186a5cf,doc_ea1d8b3a94793217e17fd0de219275e178f5238c7aeeda6877c50105b2e9e8c4,MWG/2021/MWG_financial_statements_2021_separate/MWG_financial_statements_2021_separate_extracted.txt,MWG,2021,separate
1,37a61be7aebde1fbcfe3aca42e6ba4ff37ae87bdd1a9ba6696506bcd188e7d1f,924d165211c63bbfc718b790f217ec356f80236e21fa0d8aa2acb497e186a5cf,doc_cb4da33573560c14ae945c268c381f58382a06f827c78146b2018aec627d5f33,NLG/2020/NLG_financial_statements_2020_separate/NLG_financial_statements_2020_separate_extracted.txt,NLG,2020,separate
1,37a61be7aebde1fbcfe3aca42e6ba4ff37ae87bdd1a9ba6696506bcd188e7d1f,924d165211c63bbfc718b790f217ec356f80236e21fa0d8aa2acb497e186a5cf,doc_f204acc195a57df6f8838aba32bfcef5372e9bae45ec3b92420ec03d1fe759f0,NLG/2024/NLG_financial_statements_2024_consolidated/NLG_financial_statements_2024_consolidated_extracted.txt,NLG,2024,consolidated
1,37a61be7aebde1fbcfe3aca42e6ba4ff37ae87bdd1a9ba6696506bcd188e7d1f,924d165211c63bbfc718b790f217ec356f80236e21fa0d8aa2acb497e186a5cf,doc_4e83387e664068ed2108ed1ed1ea68c8c09f748712230f0a3a8ecd729690793a,NLG/2025/NLG_financial_statements_2025_consolidated/NLG_financial_statements_2025_consolidated_extracted.txt,NLG,2025,consolidated
1,37a61be7aebde1fbcfe3aca42e6ba4ff37ae87bdd1a9ba6696506bcd188e7d1f,924d165211c63bbfc718b790f217ec356f80236e21fa0d8aa2acb497e186a5cf,doc_465329a58fcb0391a6c29316d5566abbf5702ecda8bfc8c2c49e9e1b6b442409,PNJ/2016/PNJ_financial_statements_2016_separate/PNJ_financial_statements_2016_separate_extracted.txt,PNJ,2016,separate
